ProductId,ItemCode,ItemDescription,FamilyName,GroupHeader,MainGroup,SubGroup1,SubGroup2,SubGroup3,SubGroup4,SubGroup5,SubGroup6,SubGroup7,SubGroup8,ProductFamily,ItemPurchaseType,Price in USD - P.Y,Price in USD - C.Y,Price in INR - P.Y,Price in INR - C.Y,AnnexureId,UnitofMeasures,EDApplicable,VATApplicable,PackageType,VariantCode,VariantDescription,BelongsTo,,,,
29,D30C292215-,Base Cabinet, 4 Dwr, 29H x 22D x 15L,Steel Cabinet-Sitting-Base Mounted-Drawer-Kewaunee-D30.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Drawer Cabinet,,,D30C29,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
30,D30C292218-,Base Cabinet, 4 Dwr, 29H x 22D x 18L,Steel Cabinet-Sitting-Base Mounted-Drawer-Kewaunee-D30.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Drawer Cabinet,,,D30C29,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
31,D30C292221-,Base Cabinet, 4 Dwr, 29H x 22D x 21L,Steel Cabinet-Sitting-Base Mounted-Drawer-Kewaunee-D30.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Drawer Cabinet,,,D30C29,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
32,D30C292224-,Base Cabinet, 4 Dwr, 29H x 22D x 24L,Steel Cabinet-Sitting-Base Mounted-Drawer-Kewaunee-D30.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Drawer Cabinet,,,D30C29,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
33,D31C292230-,Base Cabinet, 5 Dwr, 29H x 22D x 30L,Steel Cabinet-Sitting-Base Mounted-Drawer-Kewaunee-D31.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Drawer Cabinet,,,D31C29,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
34,D31C292236-,Base Cabinet, 5 Dwr, 29H x 22D x 36L,Steel Cabinet-Sitting-Base Mounted-Drawer-Kewaunee-D31.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Drawer Cabinet,,,D31C29,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
35,D31C292242-,Base Cabinet, 5 Dwr, 29H x 22D x 42L,Steel Cabinet-Sitting-Base Mounted-Drawer-Kewaunee-D31.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Drawer Cabinet,,,D31C29,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
36,D31C292248-,Base Cabinet, 5 Dwr, 29H x 22D x 48L,Steel Cabinet-Sitting-Base Mounted-Drawer-Kewaunee-D31.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Drawer Cabinet,,,D31C29,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
37,D32C292230-,Base Cabinet, 8 Dwr, 29H x 22D x 30L,Steel Cabinet-Sitting-Base Mounted-Drawer-Kewaunee-D32.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Drawer Cabinet,,,D32C29,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
38,D32C292236-,Base Cabinet, 8 Dwr, 29H x 22D x 36L,Steel Cabinet-Sitting-Base Mounted-Drawer-Kewaunee-D32.rfa,Lab Design ,0SF,Research Collection,Base Cabinets,Sitting Height,Drawer Cabinet,,,D32C29,Import,900,900,900,900,2,Nos,2,Nos,,,,Furniture,,,,
